,synapse_transcript_id
854,ENSMUST00000153377
855,ENSMUST00000179094
856,ENSMUST00000061937
857,ENSMUST00000041477
858,ENSMUST00000039568
859,ENSMUST00000119026
860,ENSMUST00000185582
861,ENSMUST00000239501
862,ENSMUST00000202887
863,ENSMUST00000038791
864,ENSMUST00000098371
865,ENSMUST00000043336
866,ENSMUST00000065858
867,ENSMUST00000212588
868,ENSMUST00000044278
869,ENSMUST00000128692
870,ENSMUST00000153290
871,ENSMUST00000138950
872,ENSMUST00000079594
873,ENSMUST00000228014
874,ENSMUST00000156326
875,ENSMUST00000036092
876,ENSMUST00000111236
877,ENSMUST00000159768
878,ENSMUST00000100067
879,ENSMUST00000223212
880,ENSMUST00000196356
881,ENSMUST00000065797
882,ENSMUST00000093193
883,ENSMUST00000033450
884,ENSMUST00000010451
885,ENSMUST00000238701
886,ENSMUST00000094499
887,ENSMUST00000088174
888,ENSMUST00000097776
889,ENSMUST00000207747
890,ENSMUST00000093912
891,ENSMUST00000046587
892,ENSMUST00000020493
893,ENSMUST00000229648
894,ENSMUST00000180365
895,ENSMUST00000078880
896,ENSMUST00000055693
897,ENSMUST00000099508
898,ENSMUST00000101059
899,ENSMUST00000165020
900,ENSMUST00000016309
901,ENSMUST00000115659
902,ENSMUST00000194190
903,ENSMUST00000073339
904,ENSMUST00000198518
905,ENSMUST00000036210
906,ENSMUST00000235915
907,ENSMUST00000026818
908,ENSMUST00000119481
909,ENSMUST00000107045
910,ENSMUST00000021920
911,ENSMUST00000108511
912,ENSMUST00000105608
913,ENSMUST00000166724
914,ENSMUST00000086674
915,ENSMUST00000101426
916,ENSMUST00000169470
917,ENSMUST00000100670
918,ENSMUST00000182588
919,ENSMUST00000027404
920,ENSMUST00000021347
921,ENSMUST00000171711
922,ENSMUST00000136008
923,ENSMUST00000069125
924,ENSMUST00000102822
925,ENSMUST00000117945
926,ENSMUST00000237581
927,ENSMUST00000063093
928,ENSMUST00000231884
929,ENSMUST00000163231
930,ENSMUST00000141899
931,ENSMUST00000231412
932,ENSMUST00000059899
933,ENSMUST00000023686
934,ENSMUST00000039564
935,ENSMUST00000072910
936,ENSMUST00000031090
937,ENSMUST00000061405
938,ENSMUST00000027065
939,ENSMUST00000038014
940,ENSMUST00000036315
941,ENSMUST00000025856
942,ENSMUST00000007251
943,ENSMUST00000060226
944,ENSMUST00000021790
945,ENSMUST00000060442
946,ENSMUST00000221622
947,ENSMUST00000031143
948,ENSMUST00000016072
949,ENSMUST00000027377
950,ENSMUST00000062962
951,ENSMUST00000112268
952,ENSMUST00000215756
953,ENSMUST00000085909
